Company,Type,Rating,Location,Number,Portfolio,Website,Directions Link,Directions
B&A Home Improvement General Services, Handyman/Handywoman/Handyperson,5,#VALUE!, +1 302-331-8560,"""B&A did a wonderful job on our paver patio.""",https://bandahomeimprovement.com,,
Quality Ensure LLC, General contractor,5,"Dover, DE, United States", +1 302-233-2156,"""They are prompt, professional and have a quality of work second to NONE.""",http://qualityensurellc.com,"https://www.google.com/maps/dir//Quality+Ensure+LLC,+233+Trafalgar+Dr,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xfe54bc9ec1294ed:0x1f2ddf32545283e?sa=X&ved=1t:57443&ictx=111",Directions
Teal Construction Inc, General contractor,2.9,"Dover, DE, United States", +1 302-678-9500,"""GAVE DETAILED INFO OF Driver &  LICENSE PLATE & TIME AND DATE.""",http://www.tealconstruction.com,"https://www.google.com/maps/dir//Teal+Construction+Inc,+612+Mary+St,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77b5172872189:0x2a61a8061d1cc62c?sa=X&ved=1t:57443&ictx=111",Directions
Biddle's Home Solutions LLC, Roofing contractor,5,#VALUE!, +1 302-423-9320,"""The crew was very professional and completed the work quickly and easily.""",https://www.facebook.com,,
JC Build, Contractor,,#VALUE!, +1 302-632-2432,,http://www.jc-build.com,"https://www.google.com/maps/dir//JC+Build,+607+Otis+Dr,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c765cc821bcdc9:0x78376ffb2f82e6e3?sa=X&ved=1t:57443&ictx=111",Directions
Drywall Anthony Construction LLC, Dry wall contractor,4.6,#VALUE!, +1 302-682-4019,"""These guys did a great job repairing long cracks in our drywall ceiling.""",0,"https://www.google.com/maps/dir//Drywall+Anthony+Construction+LLC,+19+Carpenter+St,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8471ec0831a50f7d:0xdddc6b6908efdd86?sa=X&ved=1t:57443&ictx=111",Directions
Dover Handyman, Handyman/Handywoman/Handyperson,5,#VALUE!, +1 302-309-9904,,http://delhandyman.com,"https://www.google.com/maps/dir//Dover+Handyman,+1518+E+Lebanon+Rd,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c76318c012c18b:0x34139f4a670efb8c?sa=X&ved=1t:57443&ictx=111",Directions
U & I Builders Inc., Home builder,3.4,"Dover, DE, United States", +1 302-697-1645,,https://www.uandibuilder.com,"https://www.google.com/maps/dir//U+%26+I+Builders+Inc.,+1200+S+Bay+Rd,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c764b5e9a456cf:0xfe16fcebebd1eb46?sa=X&ved=1t:57443&ictx=111",Directions
All Your Needs Contracting, Contractor,5,"Magnolia, DE, United States",,,0,"https://www.google.com/maps/dir//All+Your+Needs+Contracting,+500+Center+Rd,+Magnolia,+DE+19962,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7636ff6ba0aa3:0xe75baab5bb5270b?sa=X&ved=1t:57443&ictx=111",Directions
Deshields Construction, Construction company,2.5,"Dover, DE, United States", +1 302-331-5214,"""Our pole barn turned out beautiful and well built.""",0,"https://www.google.com/maps/dir//Deshields+Construction,+4019+S+Dupont+Hwy,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77d3af72f8dd1:0x6bf7b4fb6656b4b0?sa=X&ved=1t:57443&ictx=111",Directions
"The Brick Doctor, Inc.", Masonry contractor,4.6,"Dover, DE, United States", +1 302-678-3380,"""Great workmanship!""",http://www.thebrickdoctor.com,"https://www.google.com/maps/dir//The+Brick+Doctor,+Inc.,+130+Kruser+Blvd,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c76505fd663bb1:0x669feff74f4d3030?sa=X&ved=1t:57443&ictx=111",Directions
MRHunter Exteriors, Roofing contractor,4.7,"Dover, DE, United States", +1 302-672-0072,"""Work crew was always on time, friendly, and worked hard all day.""",https://www.hunterexteriors.com,"https://www.google.com/maps/dir//MRHunter+Exteriors,+1246+S+Little+Creek+Rd,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c771b77ccf96ff:0x627c3b6b047e192?sa=X&ved=1t:57443&ictx=111",Directions
G Exterior Works & Remodeling LLC, Deck builder,5,,+1 302-201-8232,"""He repaired the wood perfectly and adjusted the door to perfection.""",https://deckbuilderdoverde.com,,
JD Asphalt Inc., Paving contractor,5,"Dover, DE, United States", +1 302-514-7325,"""He arrived to the job on time and was very hands on the entire time.""",http://www.jdasphaltinc.com,"https://www.google.com/maps/dir//JD+Asphalt+Inc.,+W+Loockerman+St,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7655fb04747ed:0x61829d4d3462bab9?sa=X&ved=1t:57443&ictx=111",Directions
Delmarva Buildings, Construction company,4.4,"Wyoming, DE, United States", +1 866-734-4811,"""Solid communication, good workmanship, and a finished product we truly love.""",https://ilovepolebuildings.com,"https://www.google.com/maps/dir//Delmarva+Buildings,+317+N+Layton+Ave,+Wyoming,+DE+19934,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77ce10d6e0b13:0x2ef58b258f578b6f?sa=X&ved=1t:57443&ictx=111",Directions
Coker Concrete LLC, Concrete contractor,5,"Dover, DE, United States", +1 302-736-0944,,0,"https://www.google.com/maps/dir//Coker+Concrete+LLC,+949+Horsepond+Rd+%23+A,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7637e30a19fb1:0xf302a7142e47b210?sa=X&ved=1t:57443&ictx=111",Directions
Performance Painting LLC, Painter,4.8,#VALUE!, +1 302-272-3722,"""Clean lines, perfect finish, fast and professional.""",https://performancepaintingmt.com,,
"Builders Integrity, Inc.", General contractor,3.9,#VALUE!, +1 302-535-8983,,http://buildersintegrity.com,,
The FINISHER LLC, Handyman/Handywoman/Handyperson,4.4,#VALUE!, +1 302-480-4772,"""He was quick to respond and provide a very fair estimate.""",http://www.thefinisherllc.com,,
Affordable Asphalt LLC, Paving contractor,4.8,"Dover, DE, United States", +1 302-734-0574,"""Did a great job at a very fair price""",http://affordableasphaltde.com,"https://www.google.com/maps/dir//Affordable+Asphalt+LLC,+6293+N+Dupont+Hwy,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77a7ad95d732f:0x15ff3f55851f3cf3?sa=X&ved=1t:57443&ictx=111",Directions
Bright Side Roofing, Roofing contractor,4.8,"Dover, DE, United States", +1 302-496-5445,"""They showed up on time and had the old roof off and new one on in one day!""",https://trustbrightside.com,"https://www.google.com/maps/dir//Bright+Side+Roofing,+4+Mifflin+Rd,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77d0556136c99:0x4ceb0c5637181c63?sa=X&ved=1t:57443&ictx=111",Directions
A-1 Home Improvement, General contractor,3.4,"Dover, DE, United States", +1 302-674-8259,,0,"https://www.google.com/maps/dir//A-1+Home+Improvement,+112+Old+White+Oak+Rd,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c764eaea628d03:0xaeef60bfc32f05b7?sa=X&ved=1t:57443&ictx=111",Directions
Ashburn Homes Incorporated, Construction company,3.7,"Dover, DE, United States", +1 302-677-1940,"""Very few complaints with finished home.""",http://www.ashburnhomes.com,"https://www.google.com/maps/dir//Ashburn+Homes+Incorporated,+872+Walker+Rd+STE+A,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77b449e4b5c63:0xf369c13c4775e14a?sa=X&ved=1t:57443&ictx=111",Directions
Lessard Builders, Contractor,2.3,"Camden, DE, United States", +1 302-698-1091,,https://www.lessardbuilders.com,"https://www.google.com/maps/dir//Lessard+Builders,+261+E+Camden+Wyoming+Ave,+Camden,+DE+19934,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77d26fa25adf9:0x5a2db1be3277f878?sa=X&ved=1t:57443&ictx=111",Directions
Edward J. Krolick & Sons General Contractors, Masonry contractor,4,#VALUE!, +1 302-373-1706,,0,,
R. A. Harrison, Asphalt contractor,5,#VALUE!, +1 302-363-7344,"""His quality of work is excellent and his pricing is extremely fair.""",https://raharrison.net/,,
Cherokee Nation Construction Services, Construction company,5,"Dover, DE, United States", +1 302-883-3059,,0,"https://www.google.com/maps/dir//Cherokee+Nation+Construction+Services,+509+Hatchery+Rd+Suite+D,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77afb53cbbbe7:0xfa6b5533c4763393?sa=X&ved=1t:57443&ictx=111",Directions
Allan Myers Materials, Asphalt contractor,4.8,"Dover, DE, United States", +1 302-922-5163,,https://www.allanmyers.com,"https://www.google.com/maps/dir//Allan+Myers+Materials,+3700+Bay+Rd,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c762531f111a47:0xd2a79a5cac983056?sa=X&ved=1t:57443&ictx=111",Directions
C & C Contractor Services LLC, General contractor,,"Dover, DE, United States",+1 302-782-9804,,http://cccontractor.net/,"https://www.google.com/maps/dir//C+%26+C+Contractor+Services+LLC,+8+The+Green+Suite+8368,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c764aa67a6aaab:0x1a0a060c8615d85e?sa=X&ved=1t:57443&ictx=111",Directions
MC General Contractors LLC, HVAC contractor,,#VALUE!, +1 302-334-8954,,https://hvaccontractorsmyrna.com,,
"Mountain Consulting, Inc.", Civil engineer,3.8,"Dover, DE, United States", +1 302-744-9875,"""Did a property survey for a fence line.""",http://www.mountainconsultinginc.net/,"https://www.google.com/maps/dir//Mountain+Consulting,+Inc.,+103+S+Bradford+St,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c764aae21a6c97:0xd5e62e2a8d6d10df?sa=X&ved=1t:57443&ictx=111",Directions
"Towles Electric, Inc.", Electrician,4.4,"Dover, DE, United States", +1 302-674-4984,"""They are professional and do excellent work!""",https://towleselectric.com,"https://www.google.com/maps/dir//Towles+Electric,+Inc.,+621+W+Division+St+Bldg+105,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77af6173f886d:0x43984eb414ac8e4e?sa=X&ved=1t:57443&ictx=111",Directions
Pierce Fence Company, Fence contractor,4.8,"Dover, DE, United States", +1 302-674-1996,"""They finished in a timely manner and cleaned up before they left.""",https://www.piercefence.com,"https://www.google.com/maps/dir//Pierce+Fence+Company,+5751+N+Dupont+Hwy,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77a61598758a7:0x54ebdef55212efc5?sa=X&ved=1t:57443&ictx=111",Directions
Charles Messina Plumbing-Electric & HVAC, Plumber,4.5,"Dover, DE, United States", +1 302-674-5696,"""Adam came out, found the problem and saved me 1500.00 on the repair.""",http://www.callmessina.com,"https://www.google.com/maps/dir//Charles+Messina+Plumbing-Electric+%26+HVAC,+3681+S+Little+Creek+Rd,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7641a78144cef:0x63c3f0bc37fed711?sa=X&ved=1t:57443&ictx=111",Directions
Endure Restoration LLC, Water damage restoration service,5,#VALUE!, +1 410-845-1994,"""The floors are gorgeous and the workmanship is uncompromised.""",https://endurerestoration.net/,"https://www.google.com/maps/dir//Endure+Restoration+LLC,+129+Brenda+Ln+Suite+D,+Camden+Wyoming,+DE+19934,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77d38e345d561:0x9eed35c984ff86af?sa=X&ved=1t:57443&ictx=111",Directions
TBDI Concrete, Concrete contractor,5,,+1 302-536-8234,"""Thank you for making our walkway the best in the neighborhood!""",https://www.facebook.com,,
Gede Insulation, Insulation contractor,2.9,"Dover, DE, United States", +1 302-678-1782,"""The gentleman came and installed the gutters.""",https://www.truteam.com,"https://www.google.com/maps/dir//Gede+Insulation,+37+Ridgely+St,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77b56ef475671:0x159f3fbf698d2f68?sa=X&ved=1t:57443&ictx=111",Directions
"First State Flagging, LLC", Road construction company,3.6,"Dover, DE, United States", +1 302-241-3110,"""Great company with professional employees.""",http://www.firststateflagging.com,"https://www.google.com/maps/dir//First+State+Flagging,+LLC,+755+Walker+Rd+Suite+B,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77b7496746149:0x1c77b0acaa630719?sa=X&ved=1t:57443&ictx=111",Directions
Thomas Collins Building, Corporate office,4.3,#VALUE!,,"""Stopped in to pay my State taxes.""",https://dhss.delaware.gov/dhss/main/maps/other/collins.html,"https://www.google.com/maps/dir//Thomas+Collins+Building,+540+S+Dupont+Hwy,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7635874aee797:0x740c0205190041f1?sa=X&ved=1t:57443&ictx=111",Directions
Sid Harvey Industries - HVAC/R Specialist Distributor, Wholesaler,5,#VALUE!, +1 302-734-8936,"""Would give 10 stars if possible.""",http://www.sidharvey.com,"https://www.google.com/maps/dir//Sid+Harvey+Industries+-+HVAC%2FR+Specialist+Distributor,+1285+College+Park+Dr,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77b15044b6c25:0x876f4561aac86984?sa=X&ved=1t:57443&ictx=111",Directions
CK Construction Inc., Roofing contractor,5,"Wyoming, DE, United States", +1 302-698-3207,,http://ckconstructionco.com,"https://www.google.com/maps/dir//CK+Construction+Inc.,+4181+Berrytown+Rd,+Wyoming,+DE+19934,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b882198706cb33:0x3e0063ecb63263a7?sa=X&ved=1t:57443&ictx=111",Directions
Mid-Atlantic Dismantlement Crp, General contractor,5,"Dover, DE, United States",+1 302-678-9300,,0,"https://www.google.com/maps/dir//Mid-Atlantic+Dismantlement+Crp,+913+Horsepond+Rd,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c764abac7df7cb:0xa51641b09bd3eb97?sa=X&ved=1t:57443&ictx=111",Directions
Mclean Masonry Contractors LLC, Masonry contractor,5,,+1 302-202-3685,"""They did a wonderful job thanks McLean Masonry """,https://mcleanmasonrycontractors.com,,
Lighthouse Construction Inc., Construction company,,#VALUE!, +1 302-677-1965,,https://lhconstruction.com,"https://www.google.com/maps/dir//Lighthouse+Construction+Inc.,+859+Golf+Links+Ln+Suite+1,+Magnolia,+DE+19962,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x49e48a486d538f79:0xf9332ea16244a30a?sa=X&ved=1t:57443&ictx=111",Directions
Tolbert & Sons LLC, Painter,5,#VALUE!, +1 302-450-6577,"""Their prep and repair of cracks and imperfections were great.""",0,,
Tri County Materials, Asphalt contractor,4.8,"Dover, DE, United States", +1 302-677-0156,"""Great place to pick up materials or dump off millings and concrete""",https://www.diamondmaterials.com,"https://www.google.com/maps/dir//Tri+County+Materials,+3700+Bay+Rd,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7630d5998233b:0x972f60a158091f49?sa=X&ved=1t:57443&ictx=111",Directions
Willies Asphalt & Sealcoating LLC, Asphalt contractor,5,,+1 302-241-4829,"""Showed up on time very trustworthy great guy superb work""",https://williesasphalt.com,,
RK&K, Civil engineering company,,#VALUE!, +1 302-468-4871,,https://www.rkk.com,"https://www.google.com/maps/dir//RK%26K,+31+Saulsbury+Rd+Unit+B,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77b48731034cd:0xb275a366eb4c8d7f?sa=X&ved=1t:57443&ictx=111",Directions
Salt Air Homes, Home builder,3.9,"Camden, DE, United States", +1 302-730-0150,"""They listen to their clients needs and wants and builds a top notch product!""",http://www.saltairhomes.com,"https://www.google.com/maps/dir//Salt+Air+Homes,+91+Brenda+Ln+a,+Camden,+DE+19934,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77d1014c82801:0x94b0148412e5fe57?sa=X&ved=1t:57443&ictx=111",Directions
All Restored, Water damage restoration service,4.6,"Camden, DE, United States", +1 302-697-7810,"""Jake was very knowledgable and diligent, getting us back up and running.""",http://allrestoredinc.com,"https://www.google.com/maps/dir//All+Restored,+137+Sarah+Cir+Suite+A,+Camden,+DE+19934,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77d05348a60c1:0x2aaaa454d7947653?sa=X&ved=1t:57443&ictx=111",Directions
"Edgewater Well Service, LLC", Well drilling contractor,5,"Dover, DE, United States", +1 302-757-9037,"""Excellent service, prompt, professional, knowledgeable and fair price.""",https://www.edgewaterwellservice.com,"https://www.google.com/maps/dir//Edgewater+Well+Service,+LLC,+210+Edgewater+Farm+Ln,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77b2ebf6ae90f:0x53a97c1320e97eae?sa=X&ved=1t:57443&ictx=111",Directions
"Del-Mar-Va Heating & A/C, Inc", Air conditioning contractor,4.8,#VALUE!, +1 302-736-3696,"""Answered my call immediately and came out same day.""",https://doverheatingandcooling.com,,
Mina Services, Handyman/Handywoman/Handyperson,5,,+1 302-690-7004,"""Fantastic job - super responsive, very happy with the work.""",http://www.minaservicesde.com,,
Shane's Construction, General contractor,2.7,"Camden, DE, United States", +1 302-307-0218,,https://www.shanesconstruction.net/,"https://www.google.com/maps/dir//Shane's+Construction,+8445+Willow+Grove+Rd,+Camden,+DE+19934,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b8820574371c2b:0xcb32c5a587ab915e?sa=X&ved=1t:57443&ictx=111",Directions
AAA Tree Service and Landscaping, Tree service,5,"Dover, DE, United States", +1 302-730-3568,"""Showed up ahead of time, more than fair in pricing, and did a great job.""",0,"https://www.google.com/maps/dir//AAA+Tree+Service+and+Landscaping,+32+Carpenter+St,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c765bc308a9d6f:0xb7440a17bc101f38?sa=X&ved=1t:57443&ictx=111",Directions
Moorer's Concrete, Concrete contractor,2.5,"Dover, DE, United States", +1 302-678-1814,,0,"https://www.google.com/maps/dir//Moorer's+Concrete,+239+N+West+St,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77b516678df47:0x42a2b8f5c4cfb0fa?sa=X&ved=1t:57443&ictx=111",Directions
Callowayconstruction, Insulation contractor,,,+1 302-943-4767,,0,,
Delaware Landscaping Services Inc. and Garden Center, Landscaping supply store,4.2,#VALUE!, +1 302-697-6000,"""Amazing service and the quality of work is exceptional.""",http://delawarelandscapingservicesinc.com,"https://www.google.com/maps/dir//Delaware+Landscaping+Services+Inc.+and+Garden+Center,+800+New+Burton+Rd,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77cac92d6c5e5:0x834404ddaf1a7cd1?sa=X&ved=1t:57443&ictx=111",Directions
Quality Concrete LLC, Concrete contractor,5,#VALUE!, +1 302-747-6069,"""Excellent results and always super responsive customer service.""",http://www.qualityconcretede.com,,
G T Painting Inc, General contractor,,"Dover, DE, United States", +1 302-734-7771,,0,"https://www.google.com/maps/dir//G+T+Painting+Inc,+1206+White+Oak+Rd,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c764bf484ae595:0x11c3b2228d93edb0?sa=X&ved=1t:57443&ictx=111",Directions
Builders FirstSource, Building materials supplier,4.7,#VALUE!, +1 302-697-8650,"""Needed ideas for an outside hand rail for my steps off my porch.""",https://www.bldr.com,"https://www.google.com/maps/dir//Builders+FirstSource,+140+Vepco+Blvd,+Camden,+DE+19934,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77d19ccef8415:0x3f484e3e56af0599?sa=X&ved=1t:57443&ictx=111",Directions
Accurate Insulation, Insulation contractor,3.8,"Dover, DE, United States", +1 302-241-0940,"""I was left with quality workmanship and a clean space after they were done.""",https://www.accurateinsulationdelaware.com,"https://www.google.com/maps/dir//Accurate+Insulation,+143+Hatchery+Rd,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77afa32e28d49:0x38b5e2ab5b8ac207?sa=X&ved=1t:57443&ictx=111",Directions
SERVPRO of Dover/Middletown, Water damage restoration service,4.3,"Cheswold, DE, United States", +1 302-735-9940,"""He came promptly and took care of our problem, very efficiently.""",https://www.servpro.com,"https://www.google.com/maps/dir//SERVPRO+of+Dover%2FMiddletown,+712+Main+St,+Cheswold,+DE+19936,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7649c224c7741:0xc883255a54fd8639?sa=X&ved=1t:57443&ictx=111",Directions
Lumber Liquidators,   Flooring store,4.4,#VALUE!, +1 302-747-5988,"""Made sure all my flooring would come in on time.""",https://lumberliquidators.com,"https://www.google.com/maps/dir//Lumber+Liquidators,+2940+N+Dupont+Hwy,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77b1e22b5846f:0x2546933e1c53b21d?sa=X&ved=1t:57443&ictx=111",Directions
"Clark and Sons, Inc.", Garage door supplier,4.7,#VALUE!, +1 302-734-4211,"""Joe was awesome and fixed our door quickly and with a reasonable price.""",https://clarkandsonsdoors.com,"https://www.google.com/maps/dir//Clark+and+Sons,+Inc.,+1058+S+Little+Creek+Rd,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7649c03bc7ccf:0x78a4faa4a4ab0a28?sa=X&ved=1t:57443&ictx=111",Directions
"Shore Builders, Inc.", General contractor,4.9,"Newberry, FL, United States", +1 352-339-3322,"""On time, excellent communication, quality workmanship.""",https://www.shorebuildersinc.net/,"https://www.google.com/maps/dir//Shore+Builders,+Inc.,+984+NW+244th+Dr,+Newberry,+FL+32669,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88e8b9637facd7cd:0x683922df2884c094?sa=X&ved=1t:57443&ictx=111",Directions
Sunny's Handyman Services, Handyman/Handywoman/Handyperson,4.9,#VALUE!, +1 610-504-4004,"""Great job in a very timely manner and at a very fair price.""",https://sunnysserviceshandyman.com,,
Best Choice Flooring, Flooring contractor,4.8,#VALUE!, +1 302-275-1853,"""Mike and his crew arrived at my home on time and got straight to work.""",https://bestchoiceflooring.net/,,
Dover Heating & Air Conditioning, Air conditioning contractor,4.4,"Dover, DE, United States", +1 302-215-5460,"""As well helpful residential repair service.""",0,"https://www.google.com/maps/dir//Dover+Heating+%26+Air+Conditioning,+235+W+Loockerman+St,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77ccc99cbed7d:0x74d3bc980ea92b9a?sa=X&ved=1t:57443&ictx=111",Directions
"Handii Services, LLC", Handyman/Handywoman/Handyperson,,"Dover, DE, United States", +1 302-293-9874,,http://handiiservices.com,"https://www.google.com/maps/dir//Handii+Services,+LLC,+639+N+West+St,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77b4f0104a471:0x4674bdecb0845c2e?sa=X&ved=1t:57443&ictx=111",Directions
Next Day Demolition Company Of Dover, Demolition contractor,,"Dover, DE, United States", +1 302-342-1754,,http://nextdaydemolitionde.com,"https://www.google.com/maps/dir//Next+Day+Demolition+Company+Of+Dover,+65+N+Dupont+Hwy+%2314,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c765efc8bf63e7:0x403c357fac5f94dc?sa=X&ved=1t:57443&ictx=111",Directions
Castleman Masonry LLC, Masonry contractor,5,"Newark, DE, United States", +1 302-419-8386,"""I would use him again in a heartbeat.""",0,"https://www.google.com/maps/dir//Castleman+Masonry+LLC,+701+Coventry+Ln,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c701982dea1fa3:0x44be92385a155bdf?sa=X&ved=1t:57443&ictx=111",Directions
Elevated Remodeling, Contractor,4.5,"Newark, DE, United States", +1 800-672-8519,"""They knew exactly what they were doing and cleaned up after themselves.""",https://elevatedremodeling.com,"https://www.google.com/maps/dir//Elevated+Remodeling,+1500+Casho+Mill+Rd,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c71d86fa5b89c9:0xb7da28f59cb8b329?sa=X&ved=1t:57443&ictx=111",Directions
BAHA'S FLOORING KITCHEN & BATH REMODELING, General contractor,4.8,"Newark, DE, United States", +1 302-883-7537,"""On time, cleaned up when job was complete, and craftsmanship was 5 star!""",https://www.bahasremodeling.com,"https://www.google.com/maps/dir//BAHA'S+FLOORING+KITCHEN+%26+BATH+REMODELING,+266+S+Old+Baltimore+Pike,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7072d05742795:0xc655cb18526fe4a3?sa=X&ved=1t:57443&ictx=111",Directions
Specialty Finishes LLC, General contractor,5,#VALUE!, +1 302-283-0398,,0,,
BDP Contracting LLC, Construction company,5,"Newark, DE, United States", +1 302-737-9600,,https://www.bdpcontractingllc.net/,"https://www.google.com/maps/dir//BDP+Contracting+LLC,+4+Mill+Park+Ct,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c70183746e596b:0xe66353c55ab987d1?sa=X&ved=1t:57443&ictx=111",Directions
JD Gates Exteriors, Construction company,4.6,"Newark, DE, United States", +1 302-368-3538,"""They arrived on time, worked hard, and kept the job site clean each day.""",http://www.jdgatesexteriors.com,"https://www.google.com/maps/dir//JD+Gates+Exteriors,+273+Red+Mill+Rd,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c700bdcc300cfd:0x6f0e19279c5d0dd?sa=X&ved=1t:57443&ictx=111",Directions
Boulden Brothers, Air conditioning repair service,4.8,"Newark, DE, United States", +1 302-246-7878,"""They showed up on time, and clearly knew what they were doing.""",https://bouldenbrothers.com,"https://www.google.com/maps/dir//Boulden+Brothers,+107+Sandy+Dr+Building+700,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7abd371b35b01:0xda27ae520c7b7be0?sa=X&ved=1t:57443&ictx=111",Directions
Cascante All Construction, Construction company,4.8,#VALUE!, +1 302-228-0835,"""He completes each job on a scheduled time.""",0,,
Flat Roof Company, General contractor,5,#VALUE!, +1 302-621-8423,"""Professional crew, solid workmanship, and the job was done on schedule!""",https://flatroofcompanyus.com,"https://www.google.com/maps/dir//Flat+Roof+Company,+2201+Ogletown+Rd+E,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c701c966ca68c7:0x17de56b1534cc092?sa=X&ved=1t:57443&ictx=111",Directions
